,site,Section,Period,Total Bones Recorded,Geographic Region,author,time,Cervus_elaphus,Dama_mesopotamica,Cervus_Dama,Cervidae,Dama,Megaloceros_sp,Praemegaceros_verticornis,Pseudodama_sp,Capreolus_sp,Capreolus_capreolus,Pontoceros_antiquus_or_Sprocerus_sp,Bovini_gen_et_sp_Indet.,Bovidae_gen_et_sp_Indet.,Bos_sp,Bos_primigenius,Bos_oldowayensis,Leptobos_sp,Pelorovis_oldowayensis,Alcelaphus_sp,Alcelaphus_buselaphus,Gazella_gazella,gazelle_sp,Capra_sp,Capra_aegagrus,shepgoat,Capra_ibex_nubiana,Oryx_sp,Oryx_leucoryx,Oryx_cf_gazella,Antelopini_gen_et_sp_indet,Equus_sp,Equus_africanus,Equus_ferus,Equus_hyduntinus,Equus_caballus,Equus_caballus_hydruntinus,Equus_tabeti,Equus_hemionus,Equus_hemionus_asinus,Equus_cf_melkiensis,Sus_scrofa,Sus_strozzi,Kolpochoerus_olduvaniensis,Kolpochoerus_evronesis,Hippopotamus_sp,hippopotamus_amphibius,Lycaon_sp,Lycaon_lycaonoides,Canis_sp,Canis_aureus,Canis_mosbachensis,Canis_lupus,Ursus_arctos,Ursus_etruscus,Ursus_sp,Panthera_lio,Panthera_paradus,Panthera_gombaszoegensis,panthera_sp,Megantereon_sp,Acinonyx_jobatus,Lynx_sp,Felidae_indet,Felis_chaus,felis_caracal,felis_sylvestris,Genetta_genetta,Herpestes_sp,Herpestes_Icheumon,Meles_meles,Mustelidae,Mustella_nivalis,Martes_foina,Vormela_peregusna,Procavia,Procavia_capensis,Erinaceus_sp,Erinaceus_concolor,Microtus_guenthri,Microtus_Chionomys,Spalax_ehrenbergi,Stellagama_stellio,Crocidura_cf_suaveolens,Gerbillus_sp,Apodemus_sp,Chionomys_nivalis,Mellivora_sp,cf Mellivora_capensis,Lutra_simplicidens,Vulpes_sp,Vulpes_vulpes,cf_Caracal_caracal,Crocuta_crocuta,Crocuta_Hyaena,Hyaenidae_Indet,Hyaena_hyaena,Hystrix_indica,Hystrix_refossa,Procavia_capensis.1,Lepus_capensis,Rhinoceros_sp,Dicerhorinus_sp,Dicerorhinus_hemitoechus,Stephanorhinus_etruscus_etruscus,Stephanorhinus_sp,Stegodon_sp,Mammuthus_sp,Elephas_sp,Palaeoloxodon_antiquus,Camelus_sp,Camelus_cf_thomasi,Giraffa_sp,Hypolagus_beremendensis,Palaeoloxodon_antiquus.1,Struthio_camelus,sciurus_anomalous,Theropithecus_cf_oswaldi,Macaca_sylvana,mediumlarge,Ovis_aries,Capra_hircus,Ovis_Capra,Bos_taurus,Sus_scrofa_dom,Equus_asinus,Canis_familiaris,Equus_sp.1,Equus_cabalus,Camelus_dromedarius,Bos_indicus,Mule,Gallus_galus,REG_NAME,Y,X,
10,Tel Masos,Biblical,Iron Age,79,Beer Sheva Region,Tchernov and Drori 1983,IAI (III),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,17,0,1,0,0,0,0,0,0,0,בקעת באר שבע ועמ,569145,196750,
11,Tel Masos,Biblical,Iron Age,200,Beer Sheva Region,Tchernov and Drori 1983,IAII,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,28,0,1,3,0,0,0,0,0,0,בקעת באר שבע ועמ,569145,196750,
12,Horvat Qitmit,Biblical,Iron Age,317,Beer Sheva Region,Horwitz and Raphael,Late Iron Age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,23,0,0,0,0,0,0,0,0,0,בקעת באר שבע ועמ,565800,206300,
13,Tel Masos,Biblical,Middle Bronze,8,Beer Sheva Region,Tchernov and Drori 1983,MB II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,בקעת באר שבע ועמ,569145,196750,
14,Aroer,Classical,Roman,30,Beer Sheva Region,Motro 2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,26,0,0,0,0,1,0,0,0,0,0,בקעת באר שבע ועמ,562234,197941,
15,Beth Shean area P3,Classical,Byzantine ,0,Beth Shean Valley,Horwitz 2007,Byzantine ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,עמק בית שאן,562215,232930,
16,Beth Shean area H2,Classical,Byzantine ,132,Beth Shean Valley,Horwitz 2006,Byzantine ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,40,6,76,0,0,0,1,0,0,0,0,עמק בית שאן,712014,247489,
17,Beth Shean area L2,Classical,Byzantine ,255,Beth Shean Valley,Horwitz 2006,Byzantine ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,107,18,103,0,0,0,0,0,0,0,0,עמק בית שאן,712014,247489,
18,Tel Tsaf,Prehistory,Chalcolithic,118,Beth Shean Valley,Hellwing,Early Chalcolithic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,40,20,1,0,0,0,0,0,0,0,עמק בית שאן,702400,251500,
19,Tel Tsaf,Prehistory,Chalcolithic,12617,Beth Shean Valley,Hill 2011,Chalcolithic,6,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,587,4735,1924,4408,0,55,0,0,0,0,0,0,עמק בית שאן,702400,251500,
20,Munhatta,Prehistory,Chalcolithic,369,Beth Shean Valley,Ducos 1973,Chalcolithic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,17,54,114,90,1,2,0,0,0,0,0,0,עמק בית שאן,723900,251800,
21,Bet She'an 3537/0 ,Middle Ages,Crusader,14,Beth Shean Valley,Raban-Gerstel et al. nd,12th cent CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,4,1,0,0,0,0,0,0,0,2,עמק בית שאן,711405,247606,
22,Bet She'an 3537/0 ,Middle Ages,Crusader,20,Beth Shean Valley,Raban-Gerstel et al. nd,12-13th cent CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,0,0,0,4,0,2,0,0,0,עמק בית שאן,711405,247606,
23,Yaqush,Biblical,Early Bronze,502,Beth Shean Valley,Hesse and Wapnish 2000 from Hesse and Wapnish 2002,EB I,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,319,100,22,0,0,1,0,0,0,0,0,עמק בית שאן,724300,252500,
24,Yaqush,Biblical,Early Bronze,392,Beth Shean Valley,Hesse and Wapnish 2000 from Hesse and Wapnish 2002,EB II,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,267,91,4,0,0,0,0,0,0,0,0,עמק בית שאן,724300,252500,
25,Yaqush,Biblical,Early Bronze,341,Beth Shean Valley,Hesse and Wapnish 2000 from Hesse and Wapnish 2002,EB III,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,196,113,4,0,0,1,0,0,0,0,0,עמק בית שאן,724300,252500,
26,Beth Shean area P,Classical,Roman,0,Beth Shean Valley,Horwitz 2006,P4 Roman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,עמק בית שאן,712014,247489,
27,Beth Shean area P,Classical,Roman,55,Beth Shean Valley,Horwitz 2006,P5 Hell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,24,25,2,0,0,0,1,0,0,0,0,עמק בית שאן,712014,247489,
28,Beth Shean area H,Classical,Roman,9,Beth Shean Valley,Horwitz 2006,H3-Hell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,0,0,עמק בית שאן,712014,247489,
29,Rehov,Biblical,Iron Age,5502,Beth Shean Valley,Marom and Raban,Iron II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,400,3375,1048,0,41,64,0,0,1,0,0,0,עמק בית שאן,706917,247381,
30,Beth Shean area P,Biblical,Iron Age,10,Beth Shean Valley,Horwitz 2006,P6 late 8th bc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,1,0,0,0,0,0,0,0,0,עמק בית שאן,712014,247489,
31,Beth Shean area H4,Biblical,Iron Age,44,Beth Shean Valley,Horwitz 2006,Iron II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,8,5,1,0,0,0,0,0,0,0,עמק בית שאן,712014,247489,
32,Beth Shean area P,Biblical,Iron Age,82,Beth Shean Valley,Horwitz 2006,P7 - 8th-732bce,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,32,26,6,2,1,0,0,0,0,0,0,עמק בית שאן,712014,247489,
